NO3[mg/l],SO4[mg/l]
17,99
3.42,27.3
10,89.2
15,26.7
31,59.3
0.3,8.54
0.2,31
0.29,1000
1.32,110
0.99,65.8
1.36,84.1
1.4,865
5.2,237
2.7,20
1.95,13.3
1.7,47
8.42,60
0.46,89
18.4,64.1
17.2,83
7.67,75.5
7.31,436
2.5,14.6
3.45,51.6
9.5,2000
4.3,27
0.9,18
1.5,84.5
NA,1000
NA,3.7
10.6,11.3
5.48,6.38
NA,23.6
NA,1332
NA,43.83
0.15,21.4
0,33.1
0.44,21.35
9.1,1443
1.7,26.9
4,12.1
2,13
NA,9.43
6,14.5
12,54
12,54
12,54
10,40
10,40
10,40
NA,15
NA,15
NA,200
NA,NA
0.5,17
1,1400
NA,NA
5,650
depleted,depleted
NA,NA
NA,NA
NA,NA
0.08,21
NA,NA
NA,NA
NA,NA
NA,NA
3.17,9
0.85,5.6
13.43,481
NA,NA
NA,NA
NA,NA
1,760
NA,NA
1,53
NA,200
NA,NA
depleted,depleted
depleted,depleted
depleted,depleted
depleted,depleted
depleted,depleted
NA,0.5
1,53
1,760
depleted,depleted
1,53
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
13,25
0.9,48.25
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
1,10.5
1,10.5
1,10.5
1,10.5
2,10
2,10
1,NA
1,NA
0.6,5
